"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"afr::mwi::southern::zomba-2016-01-03-2016-03-12",FALSE,FALSE,FALSE,TRUE,FALSE,"same",28502,26946,"2016-02-16"
"afr::mwi::southern::machinga-2016-02-07-2016-07-09",FALSE,FALSE,FALSE,TRUE,FALSE,"same",31961,29198,"2016-02-16"
"afr::mwi::southern::zomba-2016-01-03-2016-03-12",FALSE,FALSE,FALSE,TRUE,FALSE,"same",34142,26946,"2016-03-08"
"afr::mwi::southern::machinga-2016-02-07-2016-07-09",FALSE,FALSE,FALSE,TRUE,FALSE,"same",36523,29198,"2016-03-08"
"afr::mwi::northern::karonga-2017-11-26-2018-03-31",FALSE,FALSE,FALSE,TRUE,FALSE,"same",98018,87324,"2018-03-12"
"afr::eth::oromia::westharerge::chirozuria-2019-05-20-2019-08-18",FALSE,FALSE,FALSE,TRUE,FALSE,"larger",98532,96000,"2019-08-01"
"afr::cod::nordkivu::karisimbihealthdistrict-2019-05-20-2020-01-26",FALSE,FALSE,FALSE,TRUE,FALSE,"same",104408,117952,"2020-01-15"
"afr::cod::nordkivu::gomahealthdistrict-2019-06-24-2020-01-26",FALSE,FALSE,FALSE,TRUE,FALSE,"same",110172,97547,"2019-10-30"
"afr::mwi::northern::karonga-2017-11-26-2018-03-31",FALSE,FALSE,FALSE,TRUE,FALSE,"same",110518,87324,"2018-02-19"
"afr::cod::nordkivu::gomahealthdistrict-2019-06-24-2020-01-26",FALSE,FALSE,FALSE,TRUE,FALSE,"same",113021,112612,"2020-01-15"
"afr::cod::nordkivu::karisimbihealthdistrict-2019-05-20-2020-01-26",FALSE,FALSE,FALSE,TRUE,FALSE,"same",305028,328117,"2019-10-30"
"afr::cod::nordkivu::karisimbihealthdistrict-2019-05-20-2020-01-26",FALSE,FALSE,FALSE,TRUE,FALSE,"same",317375,328117,"2019-05-28"
"afr::mwi::central::lilongwe-2017-12-24-2018-05-12",FALSE,FALSE,FALSE,TRUE,FALSE,"same",348066,114000,"2018-04-17"
"afr::nga::bauchi::bauchi-2018-03-26-2018-07-29",FALSE,FALSE,FALSE,TRUE,FALSE,"same",605500,617184,"2018-05-09"
"afr::zmb::lusaka-2017-12-04-2018-02-04",FALSE,FALSE,FALSE,TRUE,FALSE,"smaller",1317925,715256,"2018-01-10"
"afr::zmb::lusaka::lusaka-2017-12-04-2018-02-04",FALSE,FALSE,FALSE,TRUE,FALSE,"same",1317925,715256,"2018-01-10"
